ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3687667830;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7275714;-95.3380708;[]
N3679780864;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165086;-95.3401936;[]
N3679780865;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165086;-95.3414778;[]
N3679780866;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.716509;-95.3404281;[]
N3679780867;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165151;-95.3420599;[]
N3679780868;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165221;-95.3402354;[]
N3679780869;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7165298;-95.342007;[]
N3687667838;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7277539;-95.3384448;[]
N3679780859;3119079;2015-08-04T05:45:16Z;true;1;33087879;29.7164908;-95.3414123;[]
N3687667839;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.727879;-95.3385041;[]
N3687667836;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7277348;-95.338489;[]
N3687667837;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.72775;-95.3359246;[]
N3687667834;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7276501;-95.3366441;[]
N3687667835;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7277115;-95.3359821;[]
N3687667832;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.727623;-95.3366622;[]
N3687667833;3119079;2015-08-09T05:36:32Z;true;1;33212368;29.7276426;-95.3332539;[]
N3679809289;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.718417;-95.3468694;[]
N3679809288;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.718414;-95.3433634;[]
N3679809285;3119079;2015-08-04T06:08:45Z;true;1;33088193;29.7183823;-95.3468847;[]
